## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[2187_sh_R1.sorted.bam] OUTPUT=2187_sh_R1.sorted.markdup.bam METRICS_FILE=2187_sh_R1.sorted.markdup.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=false VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true    PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Sun Jul 26 17:26:44 EDT 2015

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
2187_sh	259841	62368712	267277	218734	33068136	16941674	0.530852	47719639

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.187861
2.0	1.509338
3.0	1.596341
4.0	1.619888
5.0	1.62626
6.0	1.627985
7.0	1.628451
8.0	1.628578
9.0	1.628612
10.0	1.628621
11.0	1.628624
12.0	1.628624
13.0	1.628625
14.0	1.628625
15.0	1.628625
16.0	1.628625
17.0	1.628625
18.0	1.628625
19.0	1.628625
20.0	1.628625
21.0	1.628625
22.0	1.628625
23.0	1.628625
24.0	1.628625
25.0	1.628625
26.0	1.628625
27.0	1.628625
28.0	1.628625
29.0	1.628625
30.0	1.628625
31.0	1.628625
32.0	1.628625
33.0	1.628625
34.0	1.628625
35.0	1.628625
36.0	1.628625
37.0	1.628625
38.0	1.628625
39.0	1.628625
40.0	1.628625
41.0	1.628625
42.0	1.628625
43.0	1.628625
44.0	1.628625
45.0	1.628625
46.0	1.628625
47.0	1.628625
48.0	1.628625
49.0	1.628625
50.0	1.628625
51.0	1.628625
52.0	1.628625
53.0	1.628625
54.0	1.628625
55.0	1.628625
56.0	1.628625
57.0	1.628625
58.0	1.628625
59.0	1.628625
60.0	1.628625
61.0	1.628625
62.0	1.628625
63.0	1.628625
64.0	1.628625
65.0	1.628625
66.0	1.628625
67.0	1.628625
68.0	1.628625
69.0	1.628625
70.0	1.628625
71.0	1.628625
72.0	1.628625
73.0	1.628625
74.0	1.628625
75.0	1.628625
76.0	1.628625
77.0	1.628625
78.0	1.628625
79.0	1.628625
80.0	1.628625
81.0	1.628625
82.0	1.628625
83.0	1.628625
84.0	1.628625
85.0	1.628625
86.0	1.628625
87.0	1.628625
88.0	1.628625
89.0	1.628625
90.0	1.628625
91.0	1.628625
92.0	1.628625
93.0	1.628625
94.0	1.628625
95.0	1.628625
96.0	1.628625
97.0	1.628625
98.0	1.628625
99.0	1.628625
100.0	1.628625

